feature,importance
blk_k_203.0,3.467224218241897e-05
blk_k_61.0,3.4360460356600804e-05
blk_k_244.0,3.393381470110722e-05
blk_k_270.0,3.343347394920344e-05
blk_k_162.0,3.308273097327552e-05
blk_k_21.0,3.2666151881911835e-05
blk_k_189.0,3.264686488848446e-05
year_2021,3.250277689670054e-05
blk_k_31.0,3.221767255680421e-05
blk_k_242.0,3.167340293419054e-05
厨,3.124305930488934e-05
blk_k_226.0,3.111539110001161e-05
blk_k_54.0,3.0814317689010285e-05
blk_k_256.0,3.074707434837485e-05
blk_k_136.0,3.0648900802830855e-05
blk_k_206.0,3.0220358271415822e-05
blk_k_138.0,3.0188103648767086e-05
blk_k_118.0,2.9543353530356768e-05
建筑结构_钢结构_01,2.925259059124916e-05
blk_k_253.0,2.818667155741787e-05
blk_k_291.0,2.7983725299382406e-05
blk_k_279.0,2.7786918457256218e-05
blk_k_105.0,2.773460719088547e-05
blk_k_39.0,2.767188315988725e-05
blk_k_125.0,2.743247278064052e-05
blk_k_222.0,2.7235657003817018e-05
blk_k_159.0,2.7138743567687095e-05
blk_k_210.0,2.6563241823721095e-05
blk_k_278.0,2.639544936368689e-05
blk_k_76.0,2.613924869750448e-05
blk_k_234.0,2.605409502734422e-05
blk_k_23.0,2.581974455272713e-05
blk_k_52.0,2.574341137704582e-05
blk_k_184.0,2.5700238152919736e-05
blk_k_304.0,2.540721961367891e-05
blk_k_12.0,2.523735370410292e-05
blk_k_288.0,2.5200971834265056e-05
blk_k_255.0,2.506407098633416e-05
blk_k_90.0,2.438317931482565e-05
blk_k_29.0,2.4305391289038695e-05
blk_k_185.0,2.4068300238023635e-05
blk_k_58.0,2.3947294611181082e-05
blk_k_207.0,2.373586144736642e-05
blk_k_265.0,2.3735599750461156e-05
blk_k_11.0,2.309581408341782e-05
blk_k_24.0,2.3009726310105205e-05
blk_k_86.0,2.2954344205077734e-05
blk_k_38.0,2.2935391517391715e-05
blk_k_172.0,2.2885078575091934e-05
blk_k_80.0,2.2054344997705235e-05
blk_k_281.0,2.2042129254670725e-05
blk_k_180.0,2.1451828581325217e-05
blk_k_17.0,2.1263915881655618e-05
blk_k_89.0,2.0715087457208797e-05
blk_k_287.0,2.0226057939403796e-05
blk_k_202.0,2.008026289683083e-05
blk_k_285.0,2.005702745729676e-05
blk_k_40.0,1.9596756829022745e-05
blk_k_268.0,1.8693550074662444e-05
blk_k_107.0,1.831002062803621e-05
blk_k_250.0,1.819732648480178e-05
blk_k_2.0,1.799543332421148e-05
blk_k_45.0,1.774996087285635e-05
blk_k_72.0,1.6510606490022435e-05
blk_k_50.0,1.6265966887122258e-05
blk_k_241.0,1.5979109222248437e-05
blk_k_67.0,1.5593419169941908e-05
blk_k_157.0,1.5509560847647556e-05
blk_k_30.0,1.5307407721548158e-05
blk_k_88.0,1.5164004926046878e-05
blk_k_286.0,1.4947996697050818e-05
blk_k_166.0,1.4841071835130505e-05
blk_k_0.0,1.4797763161006951e-05
blk_k_248.0,1.4789212767373439e-05
blk_k_46.0,1.4454767145158935e-05
blk_k_186.0,1.4368314551932761e-05
