特征,重要性,重要性%
cluster_184,1.0312590293499958e-05,0.0
cluster_181,1.0296009067337915e-05,0.0
cluster_196,1.021153982014898e-05,0.0
cluster_0,9.829100844305918e-06,0.0
cluster_85,9.608633583050325e-06,0.0
cluster_2,9.447175892861795e-06,0.0
cluster_22,9.440976597207152e-06,0.0
cluster_231,9.369174765584223e-06,0.0
cluster_23,8.237063520048383e-06,0.0
cluster_180,8.033233641586468e-06,0.0
cluster_185,7.9572482658477e-06,0.0
cluster_189,7.660477611699337e-06,0.0
cluster_197,7.62033237099566e-06,0.0
cluster_104,7.376887988739083e-06,0.0
cluster_4,7.214759423882165e-06,0.0
cluster_119,7.113519980038061e-06,0.0
cluster_11,6.691452145667394e-06,0.0
cluster_206,6.363496868734802e-06,0.0
cluster_154,6.318708927615137e-06,0.0
cluster_198,6.256966057560612e-06,0.0
cluster_200,5.7364311263001574e-06,0.0
cluster_15,5.544509750002282e-06,0.0
cluster_42,5.460945803023741e-06,0.0
cluster_76,5.455759185498959e-06,0.0
cluster_24,5.259607349582526e-06,0.0
cluster_171,5.233378178127768e-06,0.0
cluster_12,4.9044038621294044e-06,0.0
cluster_57,4.777343296729184e-06,0.0
cluster_116,4.746885109596614e-06,0.0
cluster_50,4.7116493460256244e-06,0.0
cluster_142,4.403978909122845e-06,0.0
cluster_27,4.194076520946047e-06,0.0
cluster_29,3.8432814235361805e-06,0.0
cluster_37,3.826827440460329e-06,0.0
付款方式_双月付价,6.937766094543522e-07,0.0
月_4,1.6759770441017335e-07,0.0
月_3,0.0,0.0
cluster_missing,0.0,0.0
